1789654588 ssebench-server=317.33% 
1789654594 ssebench-client-1=4.20% ssebench-server=26.13% 
1789654601 ssebench-client-1=7.91% ssebench-server=42.12% 
1789654608 ssebench-client-1=4.16% ssebench-server=23.55% 
1789654616 ssebench-client-1=5.42% ssebench-server=29.10% 
1789654623 ssebench-client-1=4.44% ssebench-server=22.86% 
1789654630 ssebench-client-1=4.92% ssebench-server=26.36% 
1789654637 ssebench-client-1=3.65% ssebench-server=36.10% 
1789654644 ssebench-client-1=6.89% ssebench-server=40.37% 
1789654651 ssebench-client-1=5.02% ssebench-server=28.57% 
1789654658 ssebench-client-1=8.09% ssebench-server=29.07% 
1789654666 ssebench-client-1=4.15% ssebench-server=28.97% 
1789654673 ssebench-client-1=5.99% ssebench-server=28.69% 
1789654680 ssebench-client-1=4.93% ssebench-server=20.81% 
1789654687 ssebench-client-1=4.79% ssebench-server=24.92% 
1789654694 ssebench-client-1=6.33% ssebench-server=31.09% 
1789654701 ssebench-client-1=4.74% ssebench-server=28.54% 
1789654709 ssebench-client-1=6.19% ssebench-server=25.55% 
1789654716 ssebench-client-1=5.83% ssebench-server=25.52% 
1789654723 ssebench-client-1=5.45% ssebench-server=24.24% 
1789654730 ssebench-client-1=5.42% ssebench-server=28.47% 
1789654737 ssebench-client-1=6.03% ssebench-server=24.09% 
1789654744 ssebench-client-1=0.00% ssebench-server=30.49% 
