1789654750 ssebench-server=343.97% 
1789654756 ssebench-client-1=4.74% ssebench-server=32.61% 
1789654763 ssebench-client-1=4.79% ssebench-server=31.27% 
1789654770 ssebench-client-1=5.39% ssebench-server=22.94% 
1789654777 ssebench-client-1=5.94% ssebench-server=19.69% 
1789654785 ssebench-client-1=4.16% ssebench-server=26.06% 
1789654792 ssebench-client-1=5.38% ssebench-server=19.10% 
1789654799 ssebench-client-1=4.99% ssebench-server=19.60% 
1789654806 ssebench-client-1=4.49% ssebench-server=20.83% 
1789654813 ssebench-client-1=10.01% ssebench-server=16.10% 
1789654820 ssebench-client-1=4.35% ssebench-server=16.92% 
1789654827 ssebench-client-1=4.96% ssebench-server=19.52% 
1789654835 ssebench-client-1=3.75% ssebench-server=17.80% 
1789654842 ssebench-client-1=6.32% ssebench-server=17.02% 
1789654849 ssebench-client-1=5.32% ssebench-server=22.96% 
1789654856 ssebench-client-1=4.17% ssebench-server=30.58% 
1789654863 ssebench-client-1=4.59% ssebench-server=20.55% 
1789654870 ssebench-client-1=3.73% ssebench-server=21.98% 
1789654877 ssebench-client-1=4.70% ssebench-server=25.03% 
1789654885 ssebench-client-1=4.95% ssebench-server=20.42% 
1789654892 ssebench-client-1=5.45% ssebench-server=29.62% 
1789654899 ssebench-client-1=7.33% ssebench-server=28.29% 
1789654906 
