1789655010 ssebench-server=342.65% 
1789655016 ssebench-client-1=11.79% ssebench-server=86.54% 
1789655024 ssebench-client-1=14.52% ssebench-server=56.89% 
1789655031 ssebench-client-1=15.42% ssebench-server=65.63% 
1789655038 ssebench-client-1=10.55% ssebench-server=61.50% 
1789655045 ssebench-client-1=13.56% ssebench-server=56.63% 
1789655052 ssebench-client-1=13.66% ssebench-server=87.26% 
1789655059 ssebench-client-1=12.27% ssebench-server=65.78% 
1789655067 ssebench-client-1=13.53% ssebench-server=67.11% 
1789655074 ssebench-client-1=17.27% ssebench-server=78.40% 
1789655081 ssebench-client-1=16.82% ssebench-server=107.21% 
1789655088 ssebench-client-1=17.70% ssebench-server=61.03% 
1789655095 ssebench-client-1=14.37% ssebench-server=79.75% 
1789655102 ssebench-client-1=13.35% ssebench-server=55.19% 
