1789655222 ssebench-server=363.78% 
1789655228 ssebench-client-1=5.41% ssebench-server=38.62% 
1789655235 ssebench-client-1=5.13% ssebench-server=19.12% 
1789655243 ssebench-client-1=4.25% ssebench-server=23.36% 
1789655250 ssebench-client-1=10.29% ssebench-server=22.53% 
1789655257 ssebench-client-1=4.53% ssebench-server=25.44% 
1789655264 ssebench-client-1=6.12% ssebench-server=39.54% 
1789655271 ssebench-client-1=6.87% ssebench-server=30.23% 
1789655278 ssebench-client-1=4.87% ssebench-server=22.75% 
1789655285 ssebench-client-1=4.79% ssebench-server=27.50% 
1789655293 ssebench-client-1=6.40% ssebench-server=26.10% 
1789655300 ssebench-client-1=6.15% ssebench-server=18.65% 
1789655307 ssebench-client-1=5.62% ssebench-server=23.88% 
1789655314 ssebench-client-1=0.00% ssebench-server=34.36% 
