[    5s] live=6487    est=6487    fail=0      rej=0      drop=0      frames/s=3221     p50=114.7ms p99=327.7ms heap=38MB
[   10s] live=12964   est=12964   fail=0      rej=0      drop=0      frames/s=9184     p50=163.8ms p99=524.3ms heap=77MB
[   15s] live=18953   est=18953   fail=0      rej=0      drop=0      frames/s=12372    p50=327.7ms p99=1835.0ms heap=109MB
[   20s] live=19487   est=19487   fail=0      rej=0      drop=0      frames/s=15761    p50=524.3ms p99=4194.3ms heap=114MB
[   25s] live=19487   est=19487   fail=0      rej=0      drop=0      frames/s=19137    p50=917.5ms p99=4194.3ms heap=114MB
[   30s] live=19999   est=19999   fail=0      rej=0      drop=0      frames/s=22651    p50=1310.7ms p99=4194.3ms heap=115MB
ramp complete in 31.0s: established=20000 failed=0 rejected=0
[   35s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=24469    p50=1048.6ms p99=4194.3ms heap=116MB
[   40s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=17778    p50=1048.6ms p99=4194.3ms heap=116MB
[   45s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=17210    p50=1048.6ms p99=4194.3ms heap=116MB
[   50s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=15654    p50=1048.6ms p99=4194.3ms heap=117MB
[   55s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=25136    p50=1310.7ms p99=5242.9ms heap=117MB
[   60s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=21737    p50=1048.6ms p99=5242.9ms heap=117MB
[   65s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=21429    p50=1048.6ms p99=5242.9ms heap=118MB
[   70s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19811    p50=1048.6ms p99=5242.9ms heap=118MB
[   75s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19607    p50=917.5ms p99=4194.3ms heap=119MB
[   80s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20378    p50=917.5ms p99=4194.3ms heap=119MB
[   85s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19180    p50=917.5ms p99=4194.3ms heap=119MB
[   90s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=21422    p50=786.4ms p99=4194.3ms heap=120MB
[   95s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=15301    p50=786.4ms p99=4194.3ms heap=120MB
[  100s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=25572    p50=786.4ms p99=4194.3ms heap=121MB
[  105s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19222    p50=786.4ms p99=4194.3ms heap=121MB
[  110s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19207    p50=786.4ms p99=4194.3ms heap=121MB
[  115s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=22486    p50=786.4ms p99=4194.3ms heap=122MB
[  120s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20000    p50=655.4ms p99=4194.3ms heap=122MB
{
  "bytesPerSec": 5432433.636792364,
  "clientGoroutines": 20002,
  "clientHeapMb": 122.15322875976562,
  "connFailed": 0,
  "connRejected": 0,
  "deliveryRatio": 1.0173096698113042,
  "dialed": 20000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 20000,
  "expectedFramesDuringHold": 1800047.7674999998,
  "firstFrameSeen": 20000,
  "framesDuringHold": 1831206,
  "framesPerSec": 20346.19339622608,
  "holdSeconds": 90.002388375,
  "id": "3",
  "latencyMillis": {
    "max": 6291.456,
    "p50": 655.36,
    "p90": 2621.44,
    "p95": 3145.728,
    "p99": 4194.304,
    "p999": 5242.88
  },
  "liveAtEnd": 20000,
  "liveAtHoldStart": 20000,
  "malformed": 0,
  "mbitPerSec": 43.45946909433891,
  "mode": "ws",
  "rampRate": 1333,
  "rampSeconds": 30.991550631,
  "requestedConns": 20000,
  "rooms": 1,
  "target": "192.168.155.2:8080"
}
