[    5s] live=19960   est=19960   fail=0      rej=0      drop=0      frames/s=11551    p50=57.3ms p99=114.7ms heap=112MB
ramp complete in 5.2s: established=20000 failed=0 rejected=0
[   10s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20005    p50=57.3ms p99=163.8ms heap=113MB
[   15s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19991    p50=57.3ms p99=163.8ms heap=113MB
[   20s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19761    p50=65.5ms p99=131.1ms heap=114MB
[   25s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20250    p50=65.5ms p99=131.1ms heap=114MB
[   30s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19995    p50=65.5ms p99=131.1ms heap=115MB
[   35s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20003    p50=65.5ms p99=131.1ms heap=115MB
[   40s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19997    p50=57.3ms p99=131.1ms heap=115MB
[   45s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=18514    p50=65.5ms p99=131.1ms heap=116MB
[   50s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20641    p50=65.5ms p99=131.1ms heap=116MB
[   55s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20849    p50=65.5ms p99=131.1ms heap=117MB
[   60s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19993    p50=57.3ms p99=131.1ms heap=117MB
[   65s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20003    p50=65.5ms p99=131.1ms heap=117MB
[   70s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19996    p50=57.3ms p99=131.1ms heap=118MB
[   75s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20011    p50=65.5ms p99=131.1ms heap=118MB
[   80s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19992    p50=65.5ms p99=131.1ms heap=118MB
[   85s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19999    p50=57.3ms p99=131.1ms heap=119MB
[   90s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20002    p50=65.5ms p99=131.1ms heap=119MB
[   95s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20000    p50=65.5ms p99=131.1ms heap=120MB
{
  "bytesPerSec": 5339942.813781082,
  "clientGoroutines": 20002,
  "clientHeapMb": 119.5917739868164,
  "connFailed": 0,
  "connRejected": 0,
  "deliveryRatio": 0.99998929097024,
  "dialed": 20000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 20000,
  "expectedFramesDuringHold": 1800019.27646,
  "firstFrameSeen": 20000,
  "framesDuringHold": 1800000,
  "framesPerSec": 19999.785819404802,
  "holdSeconds": 90.000963823,
  "id": "1",
  "latencyMillis": {
    "max": 163.84,
    "p50": 65.536,
    "p90": 98.304,
    "p95": 114.688,
    "p99": 131.072,
    "p999": 163.84
  },
  "liveAtEnd": 20000,
  "liveAtHoldStart": 20000,
  "malformed": 0,
  "mbitPerSec": 42.71954251024865,
  "mode": "ws",
  "rampRate": 4000,
  "rampSeconds": 5.203464955,
  "requestedConns": 20000,
  "rooms": 1,
  "target": "192.168.155.2:8080"
}
