1789655656 ssebench-server=291.87% 
1789655662 ssebench-client-1=7.19% ssebench-server=56.64% 
1789655669 ssebench-client-1=9.78% ssebench-server=38.46% 
1789655676 ssebench-client-1=8.78% ssebench-server=50.82% 
1789655683 ssebench-client-1=6.76% ssebench-server=28.14% 
1789655690 ssebench-client-1=7.16% ssebench-server=38.15% 
1789655697 ssebench-client-1=6.03% ssebench-server=36.91% 
1789655705 ssebench-client-1=12.43% ssebench-server=46.16% 
1789655712 ssebench-client-1=7.59% ssebench-server=42.96% 
1789655719 ssebench-client-1=10.85% ssebench-server=43.51% 
1789655726 ssebench-client-1=9.13% ssebench-server=39.97% 
1789655733 ssebench-client-1=6.88% ssebench-server=46.26% 
1789655740 ssebench-client-1=8.51% ssebench-server=29.12% 
1789655747 ssebench-client-1=4.80% ssebench-server=47.68% 
