1789655828 ssebench-server=309.79% 
1789655834 ssebench-client-1=9.07% ssebench-server=33.61% 
1789655842 ssebench-client-1=5.92% ssebench-server=33.38% 
1789655849 ssebench-client-1=6.72% ssebench-server=40.28% 
1789655856 ssebench-client-1=8.48% ssebench-server=41.56% 
1789655863 ssebench-client-1=8.77% ssebench-server=38.50% 
1789655870 ssebench-client-1=9.00% ssebench-server=39.01% 
1789655877 ssebench-client-1=8.64% ssebench-server=36.76% 
1789655884 ssebench-client-1=8.05% ssebench-server=27.40% 
1789655891 ssebench-client-1=8.73% ssebench-server=40.08% 
1789655899 ssebench-client-1=8.09% ssebench-server=33.88% 
1789655906 ssebench-client-1=7.86% ssebench-server=39.13% 
1789655913 ssebench-client-1=9.26% ssebench-server=28.54% 
1789655920 ssebench-client-1=10.72% ssebench-server=39.54% 
