1789656436 ssebench-server=335.37% 
1789656442 ssebench-client-1=8.60% ssebench-server=43.36% 
1789656449 ssebench-client-1=9.97% ssebench-server=56.64% 
1789656456 ssebench-client-1=8.29% ssebench-server=58.31% 
1789656463 ssebench-client-1=9.56% ssebench-server=89.60% 
1789656470 ssebench-client-1=25.97% ssebench-server=56.71% 
1789656477 ssebench-client-1=9.00% ssebench-server=59.63% 
1789656484 ssebench-client-1=10.17% ssebench-server=50.51% 
1789656492 ssebench-client-1=9.54% ssebench-server=56.45% 
1789656499 ssebench-client-1=8.22% ssebench-server=52.70% 
1789656506 ssebench-client-1=11.56% ssebench-server=44.08% 
1789656513 ssebench-client-1=8.63% ssebench-server=38.42% 
1789656520 ssebench-client-1=9.52% ssebench-server=59.30% 
1789656527 ssebench-client-1=9.24% ssebench-server=46.90% 
