1789656535 ssebench-server=330.45% 
1789656541 ssebench-client-1=13.42% ssebench-server=61.12% 
1789656547 ssebench-client-1=9.17% ssebench-server=61.08% 
1789656554 ssebench-client-1=8.80% ssebench-server=66.78% 
1789656561 ssebench-client-1=11.11% ssebench-server=65.98% 
1789656568 ssebench-client-1=10.65% ssebench-server=49.74% 
1789656575 ssebench-client-1=8.86% ssebench-server=29.26% 
1789656582 ssebench-client-1=9.37% ssebench-server=39.69% 
1789656590 ssebench-client-1=9.63% ssebench-server=53.11% 
1789656597 ssebench-client-1=12.19% ssebench-server=36.32% 
1789656604 ssebench-client-1=9.82% ssebench-server=43.44% 
1789656611 ssebench-client-1=8.55% ssebench-server=81.32% 
1789656618 ssebench-client-1=8.41% ssebench-server=43.34% 
1789656625 ssebench-client-1=8.08% ssebench-server=35.79% 
