1789656634 ssebench-server=334.86% 
1789656640 ssebench-client-1=8.14% ssebench-server=37.09% 
1789656647 ssebench-client-1=7.94% ssebench-server=51.64% 
1789656654 ssebench-client-1=8.53% ssebench-server=37.82% 
1789656661 ssebench-client-1=9.49% ssebench-server=54.05% 
1789656668 ssebench-client-1=8.93% ssebench-server=34.01% 
1789656675 ssebench-client-1=9.53% ssebench-server=42.21% 
1789656682 ssebench-client-1=11.38% ssebench-server=44.74% 
1789656689 ssebench-client-1=11.06% ssebench-server=38.53% 
1789656697 ssebench-client-1=12.67% ssebench-server=41.36% 
1789656704 ssebench-client-1=10.39% ssebench-server=51.17% 
1789656710 ssebench-client-1=11.07% ssebench-server=51.30% 
1789656717 ssebench-client-1=10.70% ssebench-server=47.82% 
1789656724 ssebench-client-1=10.87% ssebench-server=63.84% 
