1789658166 ssebench-server=291.01% 
1789658172 ssebench-client-1=5.90% ssebench-server=32.78% 
1789658179 ssebench-client-1=6.85% ssebench-server=24.76% 
1789658186 ssebench-client-1=8.45% ssebench-server=32.77% 
1789658193 ssebench-client-1=7.42% ssebench-server=31.10% 
1789658200 ssebench-client-1=6.79% ssebench-server=28.25% 
1789658208 ssebench-client-1=7.21% ssebench-server=41.16% 
1789658215 ssebench-client-1=7.65% ssebench-server=37.87% 
1789658222 ssebench-client-1=6.98% ssebench-server=33.75% 
1789658229 ssebench-client-1=8.10% ssebench-server=31.39% 
1789658236 ssebench-client-1=6.45% ssebench-server=31.60% 
1789658243 ssebench-client-1=8.61% ssebench-server=28.83% 
1789658250 ssebench-client-1=7.09% ssebench-server=40.12% 
1789658257 ssebench-client-1=0.00% ssebench-server=20.05% 
