[    5s] live=19960   est=19960   fail=0      rej=0      stall=0      drop=0      frames/s=10318    p50=114.7ms p99=229.4ms heap=210MB
[   10s] live=29283   est=29283   fail=0      rej=0      stall=0      drop=0      frames/s=13941    p50=163.8ms p99=2097.2ms heap=321MB
[   15s] live=31990   est=31990   fail=0      rej=0      stall=0      drop=0      frames/s=29612    p50=1835.0ms p99=5242.9ms heap=396MB
ramp complete in 16.6s: established=40000 failed=0 rejected=0
[   20s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=54836    p50=524.3ms p99=5242.9ms heap=458MB
[   25s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=36865    p50=393.2ms p99=5242.9ms heap=467MB
[   30s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=42193    p50=327.7ms p99=5242.9ms heap=477MB
[   35s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=37909    p50=327.7ms p99=5242.9ms heap=485MB
[   40s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=42514    p50=327.7ms p99=5242.9ms heap=495MB
[   45s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=36570    p50=327.7ms p99=5242.9ms heap=503MB
[   50s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=42339    p50=327.7ms p99=5242.9ms heap=513MB
[   55s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=40014    p50=327.7ms p99=5242.9ms heap=382MB
[   60s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=36741    p50=327.7ms p99=5242.9ms heap=391MB
[   65s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=43328    p50=327.7ms p99=5242.9ms heap=401MB
[   70s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=37906    p50=327.7ms p99=5242.9ms heap=409MB
[   75s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=41448    p50=327.7ms p99=5242.9ms heap=419MB
[   80s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=41241    p50=327.7ms p99=5242.9ms heap=428MB
[   85s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=40252    p50=327.7ms p99=5242.9ms heap=438MB
[   90s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=38876    p50=327.7ms p99=5242.9ms heap=447MB
[   95s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=40788    p50=327.7ms p99=5242.9ms heap=456MB
[  100s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=34117    p50=327.7ms p99=5242.9ms heap=464MB
[  105s] live=40000   est=40000   fail=0      rej=0      stall=0      drop=0      frames/s=37355    p50=327.7ms p99=4194.3ms heap=472MB
{
  "bytesPerSec": 10881526.661285508,
  "clientGoroutines": 80003,
  "clientHeapMb": 476.4615249633789,
  "connFailed": 0,
  "connRejected": 0,
  "connStalled": 0,
  "deliveryRatio": 1.0001403181328592,
  "dialed": 40000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 40000,
  "expectedFramesDuringHold": 3600006.85376,
  "firstFrameSeen": 40000,
  "framesDuringHold": 3600512,
  "framesPerSec": 40005.61272531437,
  "holdSeconds": 90.000171344,
  "id": "1",
  "latencyMillis": {
    "max": 6291.456,
    "p50": 327.68,
    "p90": 917.504,
    "p95": 2097.152,
    "p99": 4194.304,
    "p999": 5242.88
  },
  "liveAtEnd": 40000,
  "liveAtHoldStart": 40000,
  "malformed": 0,
  "mbitPerSec": 87.05221329028407,
  "mode": "sse-h2",
  "rampRate": 4000,
  "rampSeconds": 16.631258286,
  "requestedConns": 40000,
  "rooms": 1,
  "target": "192.168.155.4:8080"
}
