1789659228 ssebench-server=342.00% 
1789659234 ssebench-client-1=27.05% ssebench-server=217.00% 
1789659241 ssebench-client-1=25.45% ssebench-server=94.25% 
1789659248 ssebench-client-1=22.64% ssebench-server=70.71% 
1789659255 ssebench-client-1=23.56% ssebench-server=51.36% 
1789659262 ssebench-client-1=32.04% ssebench-server=65.58% 
1789659270 ssebench-client-1=36.01% ssebench-server=68.25% 
1789659277 ssebench-client-1=20.70% ssebench-server=72.95% 
1789659284 ssebench-client-1=37.98% ssebench-server=74.05% 
1789659291 ssebench-client-1=29.72% ssebench-server=119.05% 
1789659297 ssebench-client-1=34.11% ssebench-server=92.57% 
1789659304 ssebench-client-1=19.68% ssebench-server=65.12% 
1789659312 ssebench-client-1=24.82% ssebench-server=66.99% 
1789659319 ssebench-client-1=20.42% ssebench-server=104.54% 
