1789659331 ssebench-server=360.09% 
1789659337 ssebench-client-1=15.23% ssebench-server=62.48% 
1789659344 ssebench-client-1=15.50% ssebench-server=76.32% 
1789659351 ssebench-client-1=11.45% ssebench-server=61.66% 
1789659358 ssebench-client-1=14.43% ssebench-server=64.71% 
1789659365 ssebench-client-1=13.41% ssebench-server=78.41% 
1789659373 ssebench-client-1=12.78% ssebench-server=61.96% 
1789659380 ssebench-client-1=13.81% ssebench-server=162.20% 
1789659387 ssebench-client-1=15.46% ssebench-server=65.56% 
1789659394 ssebench-client-1=13.61% ssebench-server=70.46% 
1789659401 ssebench-client-1=14.23% ssebench-server=76.79% 
1789659408 ssebench-client-1=15.88% ssebench-server=63.87% 
1789659416 ssebench-client-1=12.43% ssebench-server=65.37% 
1789659423 ssebench-client-1=15.29% ssebench-server=79.40% 
