1789659432 ssebench-server=355.35% 
1789659438 ssebench-client-1=12.81% ssebench-server=61.56% 
1789659445 ssebench-client-1=14.54% ssebench-server=72.55% 
1789659453 ssebench-client-1=16.12% ssebench-server=84.77% 
1789659460 ssebench-client-1=17.69% ssebench-server=67.36% 
1789659467 ssebench-client-1=10.92% ssebench-server=77.46% 
1789659474 ssebench-client-1=17.44% ssebench-server=81.32% 
1789659481 ssebench-client-1=15.40% ssebench-server=76.17% 
1789659488 ssebench-client-1=18.11% ssebench-server=67.48% 
1789659496 ssebench-client-1=27.74% ssebench-server=91.26% 
1789659503 ssebench-client-1=15.59% ssebench-server=50.44% 
1789659510 ssebench-client-1=19.19% ssebench-server=68.59% 
1789659517 ssebench-client-1=13.51% ssebench-server=124.66% 
1789659524 ssebench-client-1=16.89% ssebench-server=78.36% 
