1789659533 ssebench-server=354.63% 
1789659539 ssebench-client-1=12.61% ssebench-server=53.97% 
1789659547 ssebench-client-1=10.11% ssebench-server=56.83% 
1789659554 ssebench-client-1=10.88% ssebench-server=56.04% 
1789659561 ssebench-client-1=13.63% ssebench-server=56.85% 
1789659568 ssebench-client-1=14.34% ssebench-server=56.62% 
1789659575 ssebench-client-1=10.51% ssebench-server=42.41% 
1789659582 ssebench-client-1=11.54% ssebench-server=54.17% 
1789659589 ssebench-client-1=10.30% ssebench-server=52.60% 
1789659597 ssebench-client-1=10.54% ssebench-server=57.81% 
1789659604 ssebench-client-1=10.31% ssebench-server=42.99% 
1789659611 ssebench-client-1=11.83% ssebench-server=65.63% 
1789659618 ssebench-client-1=11.21% ssebench-server=53.48% 
1789659625 ssebench-client-1=11.23% ssebench-server=42.93% 
