1789659634 ssebench-server=341.87% 
1789659640 ssebench-client-1=9.16% ssebench-server=59.35% 
1789659647 ssebench-client-1=10.25% ssebench-server=48.61% 
1789659654 ssebench-client-1=12.30% ssebench-server=53.32% 
1789659662 ssebench-client-1=11.62% ssebench-server=61.33% 
1789659669 ssebench-client-1=9.98% ssebench-server=41.96% 
1789659676 ssebench-client-1=9.68% ssebench-server=45.78% 
1789659683 ssebench-client-1=10.07% ssebench-server=41.52% 
1789659689 ssebench-client-1=14.94% ssebench-server=54.85% 
1789659696 ssebench-client-1=11.97% ssebench-server=47.36% 
1789659704 ssebench-client-1=8.26% ssebench-server=44.53% 
1789659711 ssebench-client-1=12.66% ssebench-server=39.70% 
1789659718 ssebench-client-1=10.38% ssebench-server=55.00% 
1789659725 ssebench-client-1=11.88% ssebench-server=47.55% 
