1789661034 ssebench-server=252.96% 
1789661040 ssebench-client-1=9.64% ssebench-server=31.00% 
1789661048 ssebench-client-1=8.83% ssebench-server=38.39% 
1789661055 ssebench-client-1=10.06% ssebench-server=33.38% 
1789661062 ssebench-client-1=8.32% ssebench-server=25.80% 
1789661069 ssebench-client-1=17.65% ssebench-server=45.17% 
1789661076 ssebench-client-1=8.27% ssebench-server=31.67% 
1789661083 ssebench-client-1=15.73% ssebench-server=121.52% 
1789661090 ssebench-client-1=13.39% ssebench-server=32.19% 
1789661098 ssebench-client-1=14.38% ssebench-server=35.01% 
1789661105 ssebench-client-1=6.84% ssebench-server=30.14% 
1789661112 ssebench-client-1=9.18% ssebench-server=46.64% 
1789661119 ssebench-client-1=8.78% ssebench-server=33.00% 
1789661126 ssebench-client-1=12.32% ssebench-server=28.24% 
