1789661236 ssebench-server=242.42% 
1789661242 ssebench-client-1=7.93% ssebench-server=42.53% 
1789661249 ssebench-client-1=7.16% ssebench-server=32.65% 
1789661256 ssebench-client-1=6.33% ssebench-server=41.26% 
1789661263 ssebench-client-1=7.43% ssebench-server=35.27% 
1789661270 ssebench-client-1=8.95% ssebench-server=33.29% 
1789661277 ssebench-client-1=7.76% ssebench-server=34.44% 
1789661285 ssebench-client-1=7.08% ssebench-server=36.26% 
1789661292 ssebench-client-1=6.92% ssebench-server=33.18% 
1789661299 ssebench-client-1=7.13% ssebench-server=38.04% 
1789661306 ssebench-client-1=7.01% ssebench-server=34.97% 
1789661313 ssebench-client-1=6.80% ssebench-server=25.49% 
1789661320 ssebench-client-1=7.04% ssebench-server=46.90% 
1789661327 ssebench-client-1=8.77% ssebench-server=25.49% 
