1789661336 ssebench-server=297.28% 
1789661342 ssebench-client-1=6.06% ssebench-server=32.49% 
1789661349 ssebench-client-1=7.91% ssebench-server=26.97% 
1789661356 ssebench-client-1=8.36% ssebench-server=33.52% 
1789661363 ssebench-client-1=7.20% ssebench-server=18.55% 
1789661370 ssebench-client-1=8.43% ssebench-server=22.29% 
1789661377 ssebench-client-1=7.14% ssebench-server=32.58% 
1789661384 ssebench-client-1=8.73% ssebench-server=26.16% 
1789661391 ssebench-client-1=8.20% ssebench-server=26.78% 
1789661399 ssebench-client-1=3.96% ssebench-server=42.69% 
1789661406 ssebench-client-1=8.76% ssebench-server=24.09% 
1789661413 ssebench-client-1=8.63% ssebench-server=31.90% 
1789661420 ssebench-client-1=7.61% ssebench-server=23.92% 
1789661427 ssebench-client-1=8.28% ssebench-server=24.08% 
