1789661861 ssebench-server=320.28% 
1789661867 ssebench-client-1=7.90% ssebench-server=46.62% 
1789661874 ssebench-client-1=7.73% ssebench-server=43.34% 
1789661881 ssebench-client-1=8.59% ssebench-server=43.36% 
1789661889 ssebench-client-1=9.33% ssebench-server=35.32% 
1789661896 ssebench-client-1=8.84% ssebench-server=44.35% 
1789661903 ssebench-client-1=8.46% ssebench-server=37.94% 
1789661910 ssebench-client-1=9.61% ssebench-server=30.94% 
1789661917 ssebench-client-1=5.94% ssebench-server=40.04% 
1789661924 ssebench-client-1=8.72% ssebench-server=45.59% 
1789661931 ssebench-client-1=7.87% ssebench-server=47.82% 
1789661938 ssebench-client-1=9.59% ssebench-server=37.34% 
1789661945 ssebench-client-1=8.96% ssebench-server=43.28% 
1789661953 ssebench-client-1=8.94% ssebench-server=41.80% 
