1789661961 ssebench-server=317.82% 
1789661967 ssebench-client-1=7.40% ssebench-server=40.28% 
1789661974 ssebench-client-1=8.48% ssebench-server=79.64% 
1789661981 ssebench-client-1=9.03% ssebench-server=25.22% 
1789661988 ssebench-client-1=7.12% ssebench-server=39.85% 
1789661995 ssebench-client-1=8.56% ssebench-server=38.14% 
1789662002 ssebench-client-1=8.63% ssebench-server=27.07% 
1789662009 ssebench-client-1=8.68% ssebench-server=36.39% 
1789662016 ssebench-client-1=4.92% ssebench-server=31.59% 
1789662024 ssebench-client-1=6.38% ssebench-server=22.87% 
1789662031 ssebench-client-1=11.56% ssebench-server=29.38% 
1789662038 ssebench-client-1=6.27% ssebench-server=25.24% 
1789662045 ssebench-client-1=8.91% ssebench-server=41.08% 
1789662052 ssebench-client-1=8.34% ssebench-server=30.21% 
