1789662531 ssebench-server=32.57% 
1789662537 ssebench-client-1=8.52% ssebench-server=34.34% 
1789662544 ssebench-client-1=7.05% ssebench-server=26.58% 
1789662551 ssebench-client-1=8.80% ssebench-server=32.27% 
1789662558 ssebench-client-1=7.04% ssebench-server=29.52% 
1789662566 ssebench-client-1=7.98% ssebench-server=29.95% 
1789662573 ssebench-client-1=10.04% ssebench-server=31.23% 
1789662580 ssebench-client-1=8.07% ssebench-server=26.91% 
1789662587 ssebench-client-1=8.51% ssebench-server=36.27% 
1789662594 ssebench-client-1=9.98% ssebench-server=33.69% 
1789662601 ssebench-client-1=7.61% ssebench-server=33.28% 
1789662608 ssebench-client-1=8.00% ssebench-server=31.13% 
1789662616 ssebench-client-1=9.41% ssebench-server=37.73% 
1789662623 ssebench-client-1=8.45% ssebench-server=26.37% 
