1789662629 ssebench-server=32.05% 
1789662635 ssebench-client-1=7.34% ssebench-server=24.89% 
1789662642 ssebench-client-1=7.79% ssebench-server=26.88% 
1789662649 ssebench-client-1=6.56% ssebench-server=36.59% 
1789662656 ssebench-client-1=6.82% ssebench-server=24.62% 
1789662663 ssebench-client-1=6.52% ssebench-server=26.20% 
1789662671 ssebench-client-1=6.46% ssebench-server=28.69% 
1789662678 ssebench-client-1=5.93% ssebench-server=27.72% 
1789662685 ssebench-client-1=6.96% ssebench-server=25.21% 
1789662692 ssebench-client-1=6.00% ssebench-server=26.93% 
1789662699 ssebench-client-1=6.07% ssebench-server=24.90% 
1789662706 ssebench-client-1=5.69% ssebench-server=28.14% 
1789662713 ssebench-client-1=7.29% ssebench-server=27.13% 
1789662721 ssebench-client-1=5.77% ssebench-server=25.08% 
