1789685292 ssebench-server=303.61% 
1789685298 ssebench-client-1=8.33% ssebench-server=48.27% 
1789685305 ssebench-client-1=8.78% ssebench-server=40.79% 
1789685312 ssebench-client-1=9.93% ssebench-server=88.64% 
1789685319 ssebench-client-1=9.06% ssebench-server=42.92% 
1789685326 ssebench-client-1=10.21% ssebench-server=75.31% 
1789685332 ssebench-client-1=9.71% ssebench-server=45.63% 
1789685339 ssebench-client-1=9.92% ssebench-server=52.38% 
1789685346 ssebench-client-1=8.62% ssebench-server=52.22% 
1789685354 ssebench-client-1=9.73% ssebench-server=45.27% 
1789685361 ssebench-client-1=10.15% ssebench-server=36.51% 
1789685368 ssebench-client-1=10.69% ssebench-server=84.09% 
1789685375 ssebench-client-1=8.85% ssebench-server=48.17% 
1789685382 ssebench-client-1=10.05% ssebench-server=86.83% 
