1789686215 ssebench-server=28.58% 
1789686222 ssebench-client-2=11.36% ssebench-client-1=14.16% ssebench-server=36.93% 
1789686229 ssebench-client-2=0.00% ssebench-client-1=0.05% ssebench-server=0.03% 
1789686236 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686243 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.01% 
1789686250 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.09% 
1789686257 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.03% 
1789686264 ssebench-client-2=0.00% ssebench-client-1=0.02% ssebench-server=0.07% 
1789686271 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686278 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.01% 
1789686286 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.03% 
1789686293 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.08% 
1789686299 ssebench-client-2=0.04% ssebench-client-1=0.02% ssebench-server=0.01% 
1789686306 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686313 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.03% 
