1789686317 ssebench-server=17.62% 
1789686324 ssebench-client-2=15.90% ssebench-client-1=15.67% ssebench-server=26.49% 
1789686331 ssebench-client-2=0.00% ssebench-client-1=0.05% ssebench-server=0.01% 
1789686338 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.04% 
1789686345 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.01% 
1789686352 ssebench-client-2=0.03% ssebench-client-1=0.00% ssebench-server=0.03% 
1789686359 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.03% 
1789686366 ssebench-client-2=0.04% ssebench-client-1=0.02% ssebench-server=0.03% 
1789686373 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686380 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686388 ssebench-client-2=0.01% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686395 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.02% 
1789686402 ssebench-client-2=0.03% ssebench-client-1=0.00% ssebench-server=0.03% 
1789686409 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.05% 
1789686416 ssebench-client-2=0.00% ssebench-client-1=0.00% ssebench-server=0.03% 
