1789742441 ssebench-server=325.50% 
1789742447 ssebench-client-1=9.35% ssebench-server=52.20% 
1789742454 ssebench-client-1=8.53% ssebench-server=48.14% 
1789742461 ssebench-client-1=7.82% ssebench-server=44.44% 
1789742468 ssebench-client-1=9.28% ssebench-server=49.15% 
1789742475 ssebench-client-1=9.92% ssebench-server=43.01% 
1789742483 ssebench-client-1=10.79% ssebench-server=46.16% 
1789742490 ssebench-client-1=9.42% ssebench-server=41.31% 
1789742497 ssebench-client-1=8.97% ssebench-server=42.87% 
1789742504 ssebench-client-1=10.54% ssebench-server=33.94% 
1789742511 ssebench-client-1=9.44% ssebench-server=49.98% 
1789742518 ssebench-client-1=10.70% ssebench-server=47.39% 
1789742525 ssebench-client-1=9.19% ssebench-server=47.12% 
1789742532 ssebench-client-1=10.47% ssebench-server=44.48% 
