1789743518 ssebench-server=304.28% 
1789743524 ssebench-client-1=5.16% ssebench-server=57.61% 
1789743531 ssebench-client-1=12.70% ssebench-server=45.90% 
1789743538 ssebench-client-1=9.77% ssebench-server=52.67% 
1789743545 ssebench-client-1=9.28% ssebench-server=46.72% 
1789743552 ssebench-client-1=8.48% ssebench-server=50.04% 
1789743559 ssebench-client-1=10.66% ssebench-server=43.61% 
1789743567 ssebench-client-1=9.40% ssebench-server=46.39% 
1789743574 ssebench-client-1=10.16% ssebench-server=43.91% 
1789743581 ssebench-client-1=8.16% ssebench-server=46.04% 
1789743588 ssebench-client-1=10.42% ssebench-server=39.59% 
1789743595 ssebench-client-1=10.07% ssebench-server=44.13% 
1789743602 ssebench-client-1=10.02% ssebench-server=45.10% 
1789743609 ssebench-client-1=11.00% ssebench-server=42.11% 
