1789743616 ssebench-server=347.44% 
1789743623 ssebench-client-1=8.05% ssebench-server=28.62% 
1789743630 ssebench-client-1=8.04% ssebench-server=27.38% 
1789743637 ssebench-client-1=9.64% ssebench-server=36.77% 
1789743644 ssebench-client-1=9.00% ssebench-server=31.89% 
1789743651 ssebench-client-1=6.61% ssebench-server=41.54% 
1789743658 ssebench-client-1=7.92% ssebench-server=34.94% 
1789743665 ssebench-client-1=7.90% ssebench-server=36.61% 
1789743672 ssebench-client-1=8.31% ssebench-server=35.39% 
1789743679 ssebench-client-1=7.80% ssebench-server=34.35% 
1789743687 ssebench-client-1=8.91% ssebench-server=24.58% 
1789743694 ssebench-client-1=9.35% ssebench-server=36.05% 
1789743701 ssebench-client-1=8.66% ssebench-server=41.58% 
1789743708 ssebench-client-1=8.59% ssebench-server=40.85% 
