1789743715 ssebench-server=265.71% 
1789743721 ssebench-client-1=6.55% ssebench-server=22.20% 
1789743728 ssebench-client-1=7.59% ssebench-server=38.99% 
1789743736 ssebench-client-1=6.32% ssebench-server=54.30% 
1789743743 ssebench-client-1=7.80% ssebench-server=33.93% 
1789743750 ssebench-client-1=8.01% ssebench-server=35.15% 
1789743757 ssebench-client-1=7.02% ssebench-server=38.99% 
1789743764 ssebench-client-1=8.09% ssebench-server=36.80% 
1789743771 ssebench-client-1=5.15% ssebench-server=26.86% 
1789743778 ssebench-client-1=10.42% ssebench-server=27.35% 
1789743785 ssebench-client-1=5.33% ssebench-server=33.70% 
1789743793 ssebench-client-1=6.89% ssebench-server=33.44% 
1789743800 ssebench-client-1=8.77% ssebench-server=76.79% 
1789743807 ssebench-client-1=8.35% ssebench-server=31.90% 
