1789743814 ssebench-server=276.74% 
1789743821 ssebench-client-1=7.98% ssebench-server=26.20% 
1789743828 ssebench-client-1=8.23% ssebench-server=52.21% 
1789743835 ssebench-client-1=9.02% ssebench-server=33.74% 
1789743842 ssebench-client-1=8.16% ssebench-server=37.82% 
1789743849 ssebench-client-1=10.29% ssebench-server=35.68% 
1789743856 ssebench-client-1=7.46% ssebench-server=31.09% 
1789743863 ssebench-client-1=8.64% ssebench-server=38.06% 
1789743870 ssebench-client-1=8.85% ssebench-server=22.33% 
1789743877 ssebench-client-1=5.38% ssebench-server=40.64% 
1789743885 ssebench-client-1=7.65% ssebench-server=36.26% 
1789743892 ssebench-client-1=8.08% ssebench-server=26.57% 
1789743899 ssebench-client-1=8.90% ssebench-server=29.60% 
1789743906 ssebench-client-1=7.44% ssebench-server=31.39% 
