1789745897 ssebench-server=327.08% 
1789745903 ssebench-client-1=9.90% ssebench-server=36.27% 
1789745911 ssebench-client-1=10.09% ssebench-server=45.35% 
1789745918 ssebench-client-1=8.49% ssebench-server=40.28% 
1789745925 ssebench-client-1=8.79% ssebench-server=48.57% 
1789745932 ssebench-client-1=9.71% ssebench-server=46.23% 
1789745939 ssebench-client-1=10.85% ssebench-server=45.23% 
1789745946 ssebench-client-1=9.42% ssebench-server=40.94% 
1789745953 ssebench-client-1=8.63% ssebench-server=42.10% 
1789745960 ssebench-client-1=9.44% ssebench-server=38.57% 
1789745967 ssebench-client-1=8.43% ssebench-server=34.01% 
1789745975 ssebench-client-1=8.35% ssebench-server=41.69% 
1789745982 ssebench-client-1=9.18% ssebench-server=46.20% 
1789745989 ssebench-client-1=9.29% ssebench-server=37.90% 
