run,label,mode,requested,established,liveAtEnd,droppedInHold,deliveryRatio,p99ms,rssMb,heapLiveMb,rssKbPerConn,fanOutMaxMs,openFds,serverCpuPeakPct,clientCpuPeakPct,maxConnections
20260917-221623-p1-default-sse,p1-default-sse,sse,12000,8192,8192,0,1.0005905615298298,114.688,1808.8828125,952.9332809448242,226.1,49.312,8210,317.33,8.09,8192
20260917-221906-p1-default-ws,p1-default-ws,ws,12000,8192,8192,0,0.9999859542083982,98.304,1295.7734375,679.9801559448242,162.0,45.261,8210,343.97,10.01,8192
20260917-222148-p2-tuned-sse-10000,p2-tuned-sse-10000,sse,10000,10000,10000,0,0.9999980416593907,163.84,2064.39453125,1179.2813415527344,211.4,87.769,10018,332.31,8.83,200000
20260917-222326-p2-tuned-sse-20000,p2-tuned-sse-20000,sse,20000,20000,20000,0,1.001020479247236,327.68,3948.62109375,2283.0363388061523,202.2,88.961,20018,342.65,17.7,200000
20260917-222508-p2-tuned-sse-40000,p2-tuned-sse-40000,sse,40000,40000,40000,0,0.9979000382382034,6291.456,6071.48828125,4494.741394042969,155.4,2574.797,40018,466.87,43.01,200000
20260917-222658-p2-tuned-ws-10000,p2-tuned-ws-10000,ws,10000,10000,10000,0,0.9999871486873806,131.072,1162.84765625,629.4172821044922,119.1,38.259,10018,363.78,10.29,200000
20260917-222837-p2-tuned-ws-20000,p2-tuned-ws-20000,ws,20000,20000,20000,0,0.9999745285265902,229.376,2108.3984375,1174.9588928222656,108.0,190.369,20018,356.76,16.41,200000
20260917-223018-p2-tuned-ws-40000,p2-tuned-ws-40000,ws,40000,40000,40000,0,0.9997834445895134,524.288,3497.703125,2309.3340072631836,89.5,363.907,40018,344.29,36.39,200000
20260917-223205-p2-tuned-ws-60000,p2-tuned-ws-60000,ws,60000,60000,60000,0,1.014450072494107,4194.304,4717.44140625,3487.0927658081055,80.5,1748.774,60018,416.61,41.6,200000
20260917-223414-p3-wsbuf-8192,p3-wsbuf-8192,ws,20000,20000,20000,0,0.99998929097024,131.072,2439.9296875,1604.7716064453125,124.9,67.332,20018,291.87,12.43,200000
20260917-223706-p4c-ws-buf-all,p4c-ws-buf-all,ws,20000,20000,20000,0,0.9999645560229866,114.688,1490.64453125,814.68701171875,76.3,47.095,20018,309.79,10.72,200000
20260917-224713-p5a-sse-base,p5a-sse-base,sse,20000,20000,20000,0,0.9999950289024897,229.376,3602.00390625,2257.9962310791016,184.4,156.705,20018,335.37,25.97,200000
20260917-224852-p5b-sse-hdr2k,p5b-sse-hdr2k,sse,20000,20000,20000,0,0.9999921619169916,262.144,3576.3203125,2145.274383544922,183.1,310.02,20018,330.45,13.42,200000
20260917-225031-p5c-sse-all2k,p5c-sse-all2k,sse,20000,20000,20000,0,0.9995308695911352,163.84,3186.671875,1785.1492004394531,163.2,69.964,20018,334.86,12.67,200000
20260917-225243-p6-sse-tuned-30000,p6-sse-tuned-30000,sse,30000,30000,30000,0,0.9999908625307736,262.144,4378.35546875,2670.257713317871,149.4,110.211,30018,273.37,18.63,200000
20260917-225424-p6-sse-tuned-40000,p6-sse-tuned-40000,sse,40000,40000,40000,0,1.0021342462105336,2097.152,5874.76171875,3551.403007507324,150.4,968.206,40018,390.39,48.58,200000
20260917-225705-p7-sse-40k-fanout1,p7-sse-40k-fanout1,sse,40000,40000,40000,0,1.0028410316458618,655.36,5847.58203125,3534.7508239746094,149.7,469.399,40018,374.21,35.68,200000
20260917-225850-p7-sse-40k-fanout4,p7-sse-40k-fanout4,sse,40000,40000,40000,0,0.998985574509025,458.752,5830.5625,3540.06729888916,149.3,116.949,40018,343.95,26.73,200000
20260917-230034-p7-ws-60k-fanout1,p7-ws-60k-fanout1,ws,60000,60000,60000,0,0.9999890951198956,393.216,3041.68359375,1620.6079330444336,51.9,125.913,60018,286.37,20.87,200000
20260917-230224-p7-ws-60k-fanout4,p7-ws-60k-fanout4,ws,60000,60000,60000,0,0.999977247114726,393.216,2476.4140625,1462.0,42.3,148.276,60018,251.87,19.39,200000
20260917-231603-p8-sse-h2-10000,p8-sse-h2-10000,sse-h2,10000,10000,10000,0,0.9999971329082202,196.608,1472.54296875,357.4254837036133,150.8,36.355,19,291.01,8.61,200000
20260917-231740-p8-sse-h2-20000,p8-sse-h2-20000,sse-h2,20000,20000,20000,0,0.9999879440897913,327.68,2745.98828125,1437.9304580688477,140.6,67.924,19,319.75,18.55,200000
20260917-231918-p8-sse-h2-40000,p8-sse-h2-40000,sse-h2,40000,40000,40000,0,0.9999916680694215,4194.304,5341.17578125,3038.0,136.7,145.241,19,335.37,190.21,200000
20260917-233154-p10-h2-spc1,p10-h2-spc1,sse-h2,20000,20000,20000,0,1.0020311263050485,2621.44,5510.95703125,3368.0,282.2,443.524,20018,315.84,405.85,200000
20260917-233344-p10-h2-spc6,p10-h2-spc6,sse-h2,20000,20000,20000,0,0.9999541128279513,655.36,3303.97265625,1708.524169921875,169.2,130.788,3352,342.0,37.98,200000
20260917-233527-p9-sse-text,p9-sse-text,sse,20000,20000,20000,0,1.0053293882018504,327.68,4042.2265625,2269.339424133301,207.0,80.549,20018,360.09,15.88,200000
20260917-233708-p9-sse-bytes,p9-sse-bytes,sse,20000,20000,20000,0,0.9995995370858006,327.68,3827.703125,2276.684883117676,196.0,80.097,20018,355.35,27.74,200000
20260917-233849-p9-ws-text,p9-ws-text,ws,20000,20000,20000,0,0.9999882016169813,196.608,2043.921875,1185.4592514038086,104.6,87.568,20018,354.63,14.34,200000
20260917-234030-p9-ws-bytes,p9-ws-bytes,ws,20000,20000,20000,0,1.0003499127813016,229.376,1887.28125,1129.6795501708984,96.6,68.366,20018,341.87,14.94,200000
20260918-000352-p11-h2-spc1-10k,p11-h2-spc1-10k,sse-h2,10000,10000,10000,0,0.9999782913934961,163.84,3111.48046875,1688.27685546875,318.6,63.706,10018,252.96,17.65,200000
20260918-000531-p11-h2-spc3-20k,p11-h2-spc3-20k,sse-h2,20000,20000,20000,0,0.9999813936350922,786.432,3852.828125,2001.277931213379,197.3,142.462,6685,341.65,398.91,200000
20260918-000714-p12-webflux-sse,p12-webflux-sse,sse,20000,20000,20000,0,0.9999714672808059,131.072,966.13671875,396.3901672363281,49.5,103.371,20022,242.42,8.95,8192
20260918-000854-p12-webflux-ws,p12-webflux-ws,ws,20000,20000,20000,0,0.9999899952556516,98.304,778.87109375,219.98361206054688,39.9,66.319,20022,297.28,8.76,8192
20260918-001739-p13-jetty-sse,p13-jetty-sse,sse,20000,20000,20000,0,0.9999680137009338,163.84,1523.01171875,357.9114227294922,78.0,61.652,20028,320.28,9.61,200000
20260918-001919-p13-jetty-ws,p13-jetty-ws,ws,20000,20000,20000,0,0.9999854744554388,114.688,966.1484375,427.57311248779297,49.5,55.457,20028,317.82,11.56,200000
20260918-002850-p14-go-sse,p14-go-sse,sse,20000,20000,20000,0,0.9999836290457903,114.688,731.7421875,503.62279510498047,37.5,123.099,20010,37.73,10.04,8192
20260918-003028-p14-rust-sse,p14-rust-sse,sse,20000,20000,20000,0,0.9999992959116069,114.688,679.7,-1,34.8,46.991,19573,36.59,7.79,8192
20260918-003713-p15-rust-40000,p15-rust-40000,sse,40000,40000,40000,0,0.9999802000444455,196.608,1355.0,-1,34.7,36.516,40013,63.22,27.56,200000
20260918-003858-p15-rust-60000,p15-rust-60000,sse,60000,60000,60000,0,0.9999789109034486,229.376,2039.7,-1,34.8,75.734,60013,81.47,20.86,200000
20260918-004631-archive-verify,archive-verify,sse,200,200,200,0,0.9998765949806785,14.336,301.8125,43.07920837402344,1545.3,3.332,218,48.12,0.22,8192
20260918-012352-smoke-sse,smoke-sse,sse,200,200,200,0,0.9999621575821027,20.48,310.87109375,36.89166259765625,1591.7,2.716,218,71.1,0.31,8192
20260918-012418-smoke-ws,smoke-ws,ws,200,200,200,0,0.9999475069056696,16.384,302.328125,35.218719482421875,1547.9,2.663,218,83.95,0.43,8192
20260918-012507-p15-rust-80000,p15-rust-80000,sse,80000,80000,80000,0,0.9999844260467007,229.376,2692.0,-1,34.5,65.827,80013,74.13,13.99,200000
20260918-012701-p15-rust-100000,p15-rust-100000,sse,100000,100000,100000,0,1.001598103674873,327.68,3389.1,-1,34.7,66.237,100013,113.52,19.9,200000
