1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        993460     1179646264  [B (java.base@25.0.4)
   2:         80266      657868120  [C (java.base@25.0.4)
   3:        900043       43202064  org.apache.tomcat.util.buf.ByteChunk
   4:        840037       40321776  org.apache.tomcat.util.buf.CharChunk
   5:        820035       39361680  org.apache.tomcat.util.buf.MessageBytes
   6:        431172       38543160  [Ljava.lang.Object; (java.base@25.0.4)
   7:         40001       23253992  jdk.internal.vm.StackChunk (java.base@25.0.4)
   8:        635791       20345312  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
   9:         58039       16645192  [Ljdk.internal.vm.FillerElement; (java.base@25.0.4)
  10:        260020       14561120  java.nio.HeapByteBuffer (java.base@25.0.4)
  11:        186568       11940352  java.util.LinkedHashMap (java.base@25.0.4)
  12:        491373       11792952  java.lang.String (java.base@25.0.4)
  13:        100347       10543024  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  14:        140719        9006016  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  15:        106548        8713176  [Ljava.util.HashMap$Node; (java.base@25.0.4)
  16:        214140        8565600  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  17:        323631        7767144  java.util.ArrayList (java.base@25.0.4)
  18:        142677        6848496  java.util.HashMap (java.base@25.0.4)
  19:        182498        5839936  java.util.HashMap$Node (java.base@25.0.4)
  20:        220008        5280192  org.apache.tomcat.util.http.MimeHeaderField
  21:        140840        4506880  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
  22:         20001        4160208  org.apache.coyote.Request
  23:        238188        3811008  java.lang.Object (java.base@25.0.4)
  24:         20001        3680184  org.apache.catalina.connector.Request
  25:         20000        3520000  org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper
  26:         60003        3360168  java.nio.HeapCharBuffer (java.base@25.0.4)
  27:         20000        3360000  java.lang.VirtualThread (java.base@25.0.4)
  28:         60003        2880144  [Lorg.apache.tomcat.util.http.MimeHeaderField;
  29:        140056        2240896  java.util.concurrent.locks.ReentrantLock (java.base@25.0.4)
  30:         20001        2240112  sun.nio.ch.SocketChannelImpl (java.base@25.0.4)
  31:         20001        2080104  org.apache.coyote.Response
  32:         20001        2080104  org.apache.coyote.http11.Http11Processor
  33:        120027        1920432  java.util.concurrent.atomic.AtomicBoolean (java.base@25.0.4)
  34:         80013        1920312  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@25.0.4)
  35:         20001        1760088  org.apache.coyote.RequestInfo
  36:         20001        1600080  org.apache.coyote.http11.Http11InputBuffer
  37:         60208        1444992  javax.management.ObjectName$Property (java.management@25.0.4)
  38:         60010        1440240  io.micrometer.common.ImmutableKeyValue
  39:         20001        1440072  org.apache.catalina.connector.InputBuffer
  40:         20001        1440072  org.apache.coyote.http11.filters.ChunkedInputFilter
  41:         60003        1440072  org.apache.tomcat.util.http.MimeHeaders
  42:         20000        1440000  java.util.concurrent.DelayScheduler$ScheduledForkJoinTask (java.base@25.0.4)
  43:         20000        1440000  org.apache.catalina.core.AsyncContextImpl
  44:         20000        1440000  org.springframework.http.server.observation.ServerRequestObservationContext
  45:         10383        1313520  java.lang.Class (java.base@25.0.4)
  46:         40183        1284976  [Ljavax.management.ObjectName$Property; (java.management@25.0.4)
  47:         40009        1280288  java.net.InetAddress$InetAddressHolder (java.base@25.0.4)
  48:         40007        1280224  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@25.0.4)
  49:         20003        1280192  org.springframework.util.LinkedCaseInsensitiveMap$1
  50:         40002        1280064  [Lorg.apache.coyote.http11.InputFilter;
  51:         40002        1280064  [Lorg.apache.coyote.http11.OutputFilter;
  52:         20001        1280064  org.apache.catalina.connector.OutputBuffer
  53:         20001        1280064  org.apache.tomcat.util.http.Parameters
  54:         40002        1280064  org.apache.tomcat.util.http.parser.HttpHeaderParser
  55:         40002        1280064  org.apache.tomcat.util.http.parser.HttpHeaderParser$HeaderParseData
  56:         40000        1280000  java.util.concurrent.Semaphore$NonfairSync (java.base@25.0.4)
  57:         20000        1280000  org.springframework.validation.support.BindingAwareModelMap
  58:         20000        1280000  org.springframework.web.context.request.async.StandardServletAsyncWebRequest
  59:         20000        1280000  org.springframework.web.servlet.FlashMap
  60:         20001        1120056  [Lorg.apache.catalina.core.ApplicationFilterConfig;
  61:         20001        1120056  org.apache.catalina.connector.Response
  62:         20001        1120056  org.apache.catalina.mapper.MappingData
  63:         20001        1120056  org.apache.coyote.http11.Http11OutputBuffer
  64:         41159         987816  java.util.concurrent.CopyOnWriteArrayList (java.base@25.0.4)
  65:         40110         962640  java.util.concurrent.atomic.AtomicLong (java.base@25.0.4)
  66:         40007         960168  java.net.Inet4Address (java.base@25.0.4)
  67:         40004         960096  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@25.0.4)
  68:         20001         960048  sun.nio.ch.SocketAdaptor (java.base@25.0.4)
  69:         20000         960000  com.meirongdev.ssedemo.core.Session
  70:         20000         960000  java.lang.VirtualThread$VThreadContinuation (java.base@25.0.4)
  71:         20000         960000  java.util.concurrent.ArrayBlockingQueue (java.base@25.0.4)
  72:         40000         960000  org.apache.catalina.core.AsyncListenerWrapper
  73:         20000         960000  org.springframework.web.context.request.async.DeferredResult
  74:         20000         960000  org.springframework.web.context.request.async.WebAsyncManager
  75:         20000         960000  org.springframework.web.method.support.ModelAndViewContainer
  76:         40000         960000  org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitter$DefaultCallback
  77:         20000         960000  org.springframework.web.servlet.mvc.method.annotation.SseEmitter
  78:         20000         960000  sun.nio.ch.SelectionKeyImpl (java.base@25.0.4)
  79:         10392         914496  java.lang.reflect.Method (java.base@25.0.4)
  80:         20012         800480  java.io.FileDescriptor (java.base@25.0.4)
  81:         20003         800120  org.springframework.util.LinkedCaseInsensitiveMap
  82:         20002         800080  sun.nio.cs.UTF_8$Decoder (java.base@25.0.4)
  83:         20001         800040  org.apache.coyote.AsyncStateMachine
  84:         20001         800040  org.apache.coyote.http11.filters.ChunkedOutputFilter
  85:         20001         800040  org.apache.coyote.http11.filters.IdentityInputFilter
  86:         20001         800040  org.apache.tomcat.util.log.UserDataHelper
  87:         20000         800000  io.micrometer.observation.SimpleObservation
  88:         20000         800000  java.util.concurrent.LinkedBlockingDeque (java.base@25.0.4)
  89:         20000         800000  org.springframework.web.context.request.ServletWebRequest
  90:         20000         800000  org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler$FragmentHandler
  91:         41468         663488  java.util.LinkedHashSet (java.base@25.0.4)
  92:         41355         661680  java.util.HashSet (java.base@25.0.4)
  93:         20192         646144  java.util.Collections$UnmodifiableMap (java.base@25.0.4)
  94:         20092         642944  javax.management.ObjectName (java.management@25.0.4)
  95:         40029         640464  java.util.concurrent.atomic.AtomicReference (java.base@25.0.4)
  96:         20003         640096  sun.nio.ch.DummySocketImpl (java.base@25.0.4)
  97:         40004         640064  java.net.InetSocketAddress (java.base@25.0.4)
  98:         20001         640032  [Lorg.apache.tomcat.util.http.ServerCookie;
  99:         20001         640032  org.apache.catalina.core.ApplicationFilterChain
 100:         20001         640032  org.apache.coyote.http11.filters.BufferedInputFilter
 101:         20001         640032  org.apache.coyote.http11.filters.IdentityOutputFilter
 102:         20001         640032  org.apache.tomcat.util.buf.B2CConverter
 103:         20001         640032  org.apache.tomcat.util.buf.UEncoder
 104:         20001         640032  org.apache.tomcat.util.net.NioChannel
 105:         20000         640000  jakarta.servlet.AsyncEvent
 106:         40000         640000  java.util.concurrent.Semaphore (java.base@25.0.4)
 107:         20000         640000  org.apache.catalina.core.ApplicationMapping$MappingImpl
 108:         40000         640000  org.springframework.http.HttpHeaders
 109:         20000         640000  org.springframework.http.server.ServletServerHttpResponse
 110:         20000         640000  org.springframework.web.context.request.async.StandardServletAsyncWebRequest$LifecycleHttpServletResponse
 111:         20000         640000  org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler$DefaultSseEmitterHandler
 112:         19962         638784  io.micrometer.core.instrument.internal.DefaultLongTaskTimer$SampleImpl
 113:         20931         502344  java.util.LinkedHashMap$LinkedValues (java.base@25.0.4)
 114:         20435         490440  java.lang.Long (java.base@25.0.4)
 115:         20194         484656  java.util.ArrayDeque (java.base@25.0.4)
 116:         20023         480552  java.time.Instant (java.base@25.0.4)
 117:         20001         480024  [Ljava.nio.channels.SelectionKey; (java.base@25.0.4)
 118:         20001         480024  java.util.concurrent.ConcurrentSkipListMap$Node (java.base@25.0.4)
 119:         20001         480024  org.apache.catalina.core.ApplicationMapping
 120:         20001         480024  org.apache.catalina.util.ParameterMap
 121:         20001         480024  org.apache.coyote.http11.filters.GzipOutputFilter
 122:         20001         480024  org.apache.coyote.http11.filters.GzipOutputFilter$FakeOutputStream
 123:         20001         480024  org.apache.tomcat.util.buf.CharsetHolder
 124:         20001         480024  org.apache.tomcat.util.http.ServerCookies
 125:         20001         480024  org.apache.tomcat.util.net.SocketBufferHandler
 126:         20000         480000  com.meirongdev.ssedemo.sse.SseSink
 127:         20000         480000  io.micrometer.core.instrument.Timer$Sample
 128:         20000         480000  java.lang.VirtualThread$VThreadContinuation$1 (java.base@25.0.4)
 129:         20000         480000  org.apache.tomcat.util.net.WriteBuffer
 130:         20000         480000  org.springframework.web.context.request.async.DeferredResultInterceptorChain
 131:         20000         480000  org.springframework.web.context.request.async.StandardServletAsyncWebRequest$LifecycleServletOutputStream
 132:         20000         480000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc01559260
