1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         66301        3957160  [B (java.base@25.0.4)
   2:         64361        1544664  java.lang.String (java.base@25.0.4)
   3:          9885        1250816  java.lang.Class (java.base@25.0.4)
   4:         35318        1130176  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
   5:          9932         874016  java.lang.reflect.Method (java.base@25.0.4)
   6:         21625         692000  java.util.HashMap$Node (java.base@25.0.4)
   7:          9805         643752  [Ljava.lang.Object; (java.base@25.0.4)
   8:          5152         490064  [Ljava.util.HashMap$Node; (java.base@25.0.4)
   9:         11563         462520  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  10:          5971         445992  [I (java.base@25.0.4)
  11:          5622         359808  java.util.LinkedHashMap (java.base@25.0.4)
  12:           324         337792  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  13:         17945         287120  java.lang.Object (java.base@25.0.4)
  14:         10144         259896  [Ljava.lang.Class; (java.base@25.0.4)
  15:          5032         241536  java.lang.invoke.MemberName (java.base@25.0.4)
  16:           687         149064  [Ljdk.internal.vm.FillerElement; (java.base@25.0.4)
  17:          3555         142200  java.lang.invoke.MethodType (java.base@25.0.4)
  18:          3666         117312  jdk.internal.util.WeakReferenceKey (java.base@25.0.4)
  19:          2072         116032  org.springframework.core.ResolvableType
  20:          1550         111600  java.lang.reflect.Field (java.base@25.0.4)
  21:          2126         102048  java.util.HashMap (java.base@25.0.4)
  22:           260          99872  [C (java.base@25.0.4)
  23:          2768          95176  [Ljava.lang.String; (java.base@25.0.4)
  24:          2293          91720  jdk.internal.util.SoftReferenceKey (java.base@25.0.4)
  25:          3424          82176  java.lang.invoke.ResolvedMethodName (java.base@25.0.4)
  26:          2379          76128  java.lang.invoke.LambdaForm$Name (java.base@25.0.4)
  27:          1570          74576  [Ljava.lang.reflect.Method; (java.base@25.0.4)
  28:           380          72960  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  29:          1133          72512  java.lang.Class$ReflectionData (java.base@25.0.4)
  30:          1623          64920  java.lang.invoke.DirectMethodHandle (java.base@25.0.4)
  31:          2678          64272  java.util.ArrayList (java.base@25.0.4)
  32:          1556          62240  java.lang.ref.SoftReference (java.base@25.0.4)
  33:          1194          57312  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.4)
  34:           630          45360  java.lang.reflect.Constructor (java.base@25.0.4)
  35:           703          44992  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  36:          1023          40920  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25.0.4)
  37:           683          38248  org.springframework.core.annotation.TypeMappedAnnotation
  38:          1258          37480  [Ljava.lang.CharSequence; (java.base@25.0.4)
  39:          1158          37056  java.util.Locale (java.base@25.0.4)
  40:          1158          37056  sun.util.locale.BaseLocale (java.base@25.0.4)
  41:           482          36632  [Ljava.lang.ref.SoftReference; (java.base@25.0.4)
  42:           838          33520  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  43:           838          33520  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  44:          1033          33056  java.lang.ref.ReferenceQueue (java.base@25.0.4)
  45:           513          32832  org.springframework.core.MethodParameter
  46:             2          32800  [Ljdk.internal.ref.PhantomCleanable; (java.base@25.0.4)
  47:           664          31872  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  48:           181          31856  org.springframework.beans.factory.support.RootBeanDefinition
  49:           661          31728  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.4)
  50:           784          31360  org.springframework.util.ConcurrentReferenceHashMap$Segment
  51:           784          30440  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  52:          1268          30432  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@25.0.4)
  53:          1212          29088  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25.0.4)
  54:          1156          27744  java.util.concurrent.CopyOnWriteArrayList (java.base@25.0.4)
  55:           184          27272  [Z (java.base@25.0.4)
  56:           668          26720  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.4)
  57:           505          26672  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.4)
  58:           833          26656  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
  59:          1069          25656  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25.0.4)
  60:          1056          25344  java.util.LinkedHashMap$LinkedKeySet (java.base@25.0.4)
  61:           640          24088  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  62:           500          24000  java.lang.invoke.LambdaForm (java.base@25.0.4)
  63:          1467          23472  java.util.LinkedHashSet (java.base@25.0.4)
  64:          1069          19848  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25.0.4)
  65:           489          19560  java.util.TreeMap$Entry (java.base@25.0.4)
  66:           271          19512  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
  67:           223          19184  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
  68:           395          18960  ch.qos.logback.classic.Logger
  69:           296          18944  java.security.Provider$Service (java.base@25.0.4)
  70:           786          18864  java.lang.Class$AnnotationData (java.base@25.0.4)
  71:           784          18816  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  72:           775          18600  java.security.Provider$ServiceKey (java.base@25.0.4)
