1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1014722      875864080  [B (java.base@25.0.4)
   2:         40482       48571576  [C (java.base@25.0.4)
   3:        251435       31278144  [Ljava.lang.Object; (java.base@25.0.4)
   4:         45013       30662096  jdk.internal.vm.StackChunk (java.base@25.0.4)
   5:        811735       19481640  java.lang.String (java.base@25.0.4)
   6:         62514       11856560  [Ljdk.internal.vm.FillerElement; (java.base@25.0.4)
   7:        282479        9039328  java.util.HashMap$Node (java.base@25.0.4)
   8:        160603        8993768  java.nio.HeapByteBuffer (java.base@25.0.4)
   9:        283668        6808032  java.util.ArrayList (java.base@25.0.4)
  10:        196020        6272640  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
  11:         86580        6126848  [Ljava.util.HashMap$Node; (java.base@25.0.4)
  12:         80765        5168960  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  13:        114116        4564640  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  14:         82866        3977568  java.util.HashMap (java.base@25.0.4)
  15:         20000        3520000  org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper
  16:         20000        3360000  java.lang.VirtualThread (java.base@25.0.4)
  17:        100840        3226880  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
  18:         20000        3040000  org.apache.tomcat.websocket.WsSession
  19:        120412        2889888  java.util.Collections$UnmodifiableRandomAccessList (java.base@25.0.4)
  20:        178562        2856992  java.lang.Object (java.base@25.0.4)
  21:         80009        2560288  java.net.InetAddress$InetAddressHolder (java.base@25.0.4)
  22:        100000        2400000  org.apache.tomcat.util.collections.CaseInsensitiveKeyMap$Key
  23:         20000        2400000  org.apache.tomcat.websocket.server.WsFrameServer
  24:         20000        2400000  org.apache.tomcat.websocket.server.WsRemoteEndpointImplServer
  25:         40162        2249072  java.nio.HeapCharBuffer (java.base@25.0.4)
  26:         20001        2240112  sun.nio.ch.SocketChannelImpl (java.base@25.0.4)
  27:         80013        1920312  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@25.0.4)
  28:         80007        1920168  java.net.Inet4Address (java.base@25.0.4)
  29:         80004        1920096  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@25.0.4)
  30:         60000        1920000  java.util.concurrent.Semaphore$NonfairSync (java.base@25.0.4)
  31:           398        1658720  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  32:         20132        1610560  java.net.URI (java.base@25.0.4)
  33:         40055        1602200  sun.nio.cs.UTF_8$Decoder (java.base@25.0.4)
  34:        100090        1601440  org.apache.juli.logging.DirectJDKLog
  35:        100056        1600896  java.util.concurrent.locks.ReentrantLock (java.base@25.0.4)
  36:         20000        1600000  org.apache.tomcat.websocket.server.WsHttpUpgradeHandler
  37:         19997        1439784  java.util.concurrent.DelayScheduler$ScheduledForkJoinTask (java.base@25.0.4)
  38:         10466        1324216  java.lang.Class (java.base@25.0.4)
  39:         40233        1287456  java.util.Collections$UnmodifiableMap (java.base@25.0.4)
  40:         40004        1280128  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@25.0.4)
  41:         80004        1280064  java.net.InetSocketAddress (java.base@25.0.4)
  42:         20001        1280064  org.springframework.util.LinkedCaseInsensitiveMap$1
  43:         20000        1120000  org.springframework.web.socket.adapter.standard.StandardWebSocketSession
  44:         60083         961328  java.util.concurrent.atomic.AtomicBoolean (java.base@25.0.4)
  45:         20001         960048  sun.nio.ch.SocketAdaptor (java.base@25.0.4)
  46:         20000         960000  com.meirongdev.ssedemo.core.Session
  47:         20000         960000  java.lang.VirtualThread$VThreadContinuation (java.base@25.0.4)
  48:         20000         960000  java.util.concurrent.ArrayBlockingQueue (java.base@25.0.4)
  49:         60000         960000  java.util.concurrent.Semaphore (java.base@25.0.4)
  50:         20000         960000  org.apache.coyote.http11.upgrade.UpgradeInfo
  51:         20000         960000  org.apache.tomcat.util.buf.Utf8Encoder
  52:         20000         960000  org.springframework.web.socket.server.standard.ServerEndpointRegistration
  53:         20000         960000  sun.nio.ch.SelectionKeyImpl (java.base@25.0.4)
  54:         10355         911240  java.lang.reflect.Method (java.base@25.0.4)
  55:         20012         800480  java.io.FileDescriptor (java.base@25.0.4)
  56:         20001         800040  org.springframework.util.LinkedCaseInsensitiveMap
  57:         20000         800000  java.util.concurrent.LinkedBlockingDeque (java.base@25.0.4)
  58:         20000         800000  org.apache.tomcat.websocket.server.WsHandshakeRequest
  59:         20484         655488  java.lang.ref.WeakReference (java.base@25.0.4)
  60:         40029         640464  java.util.concurrent.atomic.AtomicReference (java.base@25.0.4)
  61:         20003         640096  sun.nio.ch.DummySocketImpl (java.base@25.0.4)
  62:         20001         640032  org.apache.tomcat.util.net.NioChannel
  63:         20000         640000  org.apache.coyote.UpgradeToken
  64:         23328         595832  [Ljava.lang.String; (java.base@25.0.4)
  65:         21221         509304  java.util.concurrent.CopyOnWriteArrayList (java.base@25.0.4)
  66:         20194         484656  java.util.ArrayDeque (java.base@25.0.4)
  67:         20116         482784  java.util.Collections$SingletonList (java.base@25.0.4)
  68:         20080         481920  java.util.Arrays$ArrayList (java.base@25.0.4)
  69:         20001         480024  [Ljava.nio.channels.SelectionKey; (java.base@25.0.4)
  70:         20001         480024  org.apache.tomcat.util.net.SocketBufferHandler
  71:         20001         480024  org.springframework.http.ReadOnlyHttpHeaders
  72:         20000         480000  com.meirongdev.ssedemo.ws.WsSink
  73:         20000         480000  java.lang.VirtualThread$VThreadContinuation$1 (java.base@25.0.4)
  74:         20000         480000  org.apache.coyote.http11.upgrade.UpgradeProcessorInternal
  75:         20000         480000  org.apache.tomcat.util.collections.CaseInsensitiveKeyMap
  76:         20000         480000  org.apache.tomcat.util.net.WriteBuffer
  77:         20000         480000  org.apache.tomcat.websocket.server.WsPerSessionServerEndpointConfig
  78:         20000         480000  org.springframework.web.socket.adapter.standard.StandardWebSocketHandlerAdapter
  79:         20000         480000  org.springframework.web.socket.adapter.standard.StandardWebSocketHandlerAdapter$3
  80:         20000         480000  org.springframework.web.socket.adapter.standard.StandardWebSocketHandlerAdapter$4
  81:         20000         480000  org.springframework.web.socket.adapter.standard.StandardWebSocketHandlerAdapter$5
  82:          6055         455736  [I (java.base@25.0.4)
  83:          6662         426368  java.util.LinkedHashMap (java.base@25.0.4)
  84:         11891         380512  java.util.concurrent.ForkJoinTask$RunnableExecuteAction (java.base@25.0.4)
  85:         20749         331984  java.util.concurrent.CopyOnWriteArraySet (java.base@25.0.4)
  86:         20734         331744  java.lang.Integer (java.base@25.0.4)
  87:         20271         324336  java.util.HashMap$EntrySet (java.base@25.0.4)
  88:         20008         320128  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@25.0.4)
  89:         20004         320064  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@25.0.4)
  90:         20000         320000  com.meirongdev.ssedemo.core.Registry$$Lambda/0x0000700001583c20
  91:         20000         320000  com.meirongdev.ssedemo.core.Session$$Lambda/0x0000700001586d60
  92:         20000         320000  java.lang.VirtualThread$$Lambda/0x00007000014fb3d0 (java.base@25.0.4)
  93:         20000         320000  org.apache.tomcat.websocket.WsFrameBase$UnmaskTransformation
  94:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointAsync
  95:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointBasic
